3000000	1	103茶餐厅
3000001	1	蔡馬洪涛烤肉·老北京铜锅涮羊肉
3000002	1	新白鹿餐厅(运河上街店)
3000003	1	Mamala(杭州远洋乐堤港店)
3000004	1	海底捞火锅(水晶城购物中心店）
3000005	1	幸福里老北京涮锅（丝联店）
3000006	1	炉鱼(拱墅万达广场店)
3000007	1	浅草屋寿司（运河上街店）
3000008	1	羊老三羊蝎子牛仔排北派炭火锅(运河上街店)
3000009	2	开乐迪KTV（运河上街店）
3000010	2	INLOVE KTV(水晶城店)
3000011	2	魅(杭州远洋乐堤港店)
3000012	2	讴K拉量贩KTV(北城天地店)
3000013	2	星聚会KTV(拱墅区万达店)
3000014	1	星巴克(杭州宸融大厦店)
3000015	1	星巴克沿街取餐点(杭州宸融大厦店)
3000016	1	march&munch轻食咖啡
3000017	1	老太婆水饺(崇盛里店)
3000018	1	贵州米粉
3000019	1	和善园(宸融大厦店)
3000020	1	沙县小吃(宸融大厦店)
3000021	1	周素珍馄饨店(宸融大厦店)
3000022	1	犟宴江南
3000023	1	张正发茶餐厅(宸融大厦店)
3000024	1	兰州牛肉拉面
3000025	1	望宸食府(宸融大厦店)
3000026	1	淮南牛肉汤(宸麟路店)
3000027	1	就这家棋牌会所
3000028	1	OVENSTAR欧文酵室(拱墅区金麟府店)
3000029	2	唐朝荟
3000030	2	开乐迪ktv(运河上街购物中心西区店)
3000031	2	新明珠大酒店(杭州远洋乐堤港店)
3000032	2	唱吧麦颂KTV(杭州天阳D32店)
3000033	2	星河汇商务公馆
3000034	2	时代Show
3000035	2	魅KTV·AI辅唱(万融城店)
3000036	2	魅KTV·AI辅唱(远洋乐堤港店)
3000037	2	INLOVE KTV(水晶城购物中心店)
3000038	2	罗密欧量贩KTV(崇安中心店)
3000039	2	合鼎荟KTV(兰埔店)
3000040	2	花漾(万达广场店)
3000041	2	魅KTV·AI辅唱(中大银泰城店)
3000042	2	凯富国际娱乐KTV(香积寺路店)
3000043	2	星聚会KTV(大悦城店)
3000044	3	韵动高尔夫·24小时自助球馆
3000045	3	HIO·高仕汇高尔夫俱乐部
3000046	3	情艺国际美容美发(蚕花园·永和坊南区店)
3000047	3	阿婷美容美发(崇盛里店)
3000048	3	名剪造型烫染专业店(运河上街店)
3000049	3	吉野男士发型设计(浙大城市学院店)
3000050	3	蓝天发型(拱宸新苑店)
3000051	3	一木工作室(大家绿城·金麟府店)
3000052	3	燕子发屋(拱宸新苑店)
3000053	3	好彩头造型(定海园店)
3000054	3	名剪造型·形象定制(运河广场店)
3000055	3	小线人烫染接发店
3000056	3	万家理发室(蚕花园永和坊北区店)
3000057	3	新杭剪(崇庆里店)
3000058	3	新形象(温州路店)
3000059	4	Kings homebar小酒馆
3000060	4	豆粒时光手作·拼豆
3000061	4	来都来了造物社·拼豆
3000062	4	丸戊手工DIY研究所·银饰·调香·水晶定制(运河上街购物中心东区店)
3000063	4	马卡龙乐园(运河上街购物中心东区店)
3000064	4	宝贝都家庭儿童乐园(运河上街店)
3000065	4	星乐美童游乐园(运河上街购物中心东区店)
3000066	4	舞动天琦(运河上街购物中心西区店)
3000067	4	浙大城市学院南校区学生活动中心
3000068	4	1DUN弢光·烧玻璃·漆扇·手工diy·团建·定制
3000069	4	骆驼穿针手工体验与茶饮空间
3000070	4	摇滚跃
3000071	4	会友中老年活动室
3000072	4	微景四季·DIY·团建
3000073	4	玉湖果园
3000074	5	百姿足浴(金都·清宸公寓店)
3000075	5	富泉影院式足道·SPA(艺龙酒店店)
3000076	5	锦仙宫足道
3000077	5	朴正堂道家理疗工作室
3000078	5	心心推拿·足疗·按摩(崇庆里店)
3000079	5	梁济春中医·疼痛专科·针灸·推拿·正骨
3000080	5	藏式特色头疗
3000081	5	旭康盲人推拿按摩连锁店(温州路店)
3000082	5	足行健(永庆路店)
3000083	5	禾禧养生
3000084	5	人河足道(运河店)
3000085	5	坤元堂健康管理
3000086	5	功夫肩颈米粒优美美容(永庆路店)
3000087	5	国祥盲人推拿(永庆路店)
3000088	5	昕之康经络养生馆
3000089	6	韵动高尔夫·24小时自助球馆
3000090	6	HIO·高仕汇高尔夫俱乐部
3000091	6	富泉影院式足道·SPA(艺龙酒店店)
3000092	6	耳里扒扒采耳馆(运河上街店)
3000093	6	御鸿轩精油SPA.推拿.足道养生馆(瓜山店)
3000094	6	愈小悦SPA
3000095	6	云境庭·影院足道·顶奢SPA
3000096	6	梵云荟影院足道·SPA
3000097	6	芸瑶养生SPA馆(杭州总店)
3000098	6	悦江南·影院式足道SPA(运河上城店)
3000099	6	逸江南影院式足道·SPA
